Season,Matchday,Date,Home_Team,Away_Team,Score,Attendance,Home_Goals,Away_Goals,Target,Home_Team_Points,Away_Team_Points,Home_Form_5,Away_Form_5,Home_Rank,Away_Rank
2010,9,2010-11-06,Hapoel Beer Sheva,Hapoel Ramat Gan,2:0,0,2.0,0.0,0,9,5,5,3,12,15
2010,9,2010-11-06,Ihud Bnei Sakhnin,FC Ashdod,0:2,0,0.0,2.0,2,2,10,1,6,16,12
2010,9,2010-11-06,Maccabi Tel Aviv,Hapoel Ashkelon,2:0,0,2.0,0.0,0,16,10,10,6,3,12
2010,9,2010-11-07,Maccabi Netanya,Hapoel Acre,1:3,0,1.0,3.0,2,15,12,8,10,5,9
2010,9,2010-11-08,Maccabi Haifa,Hapoel Tel Aviv,0:2,14500,0.0,2.0,2,18,16,11,12,3,4
2010,10,2010-11-13,Hapoel Acre,Maccabi Tel Aviv,3:1,0,3.0,1.0,0,15,19,13,10,5,1
2010,10,2010-11-13,Ironi Kiryat Shmona,Maccabi Netanya,3:0,0,3.0,0.0,0,18,15,8,7,3,6
2010,10,2010-11-13,Hapoel Ashkelon,Maccabi Petah Tikva,0:1,0,0.0,1.0,2,10,13,3,7,12,8
2010,10,2010-11-13,Hapoel Haifa,Hapoel Beer Sheva,1:1,0,1.0,1.0,1,14,12,5,8,8,10
2010,10,2010-11-13,Bnei Yehuda Tel Aviv,FC Ashdod,0:0,0,0.0,0.0,1,12,13,8,9,11,10
2010,10,2010-11-13,Hapoel Ramat Gan,Maccabi Haifa,1:3,2000,1.0,3.0,2,5,18,0,8,15,5
2010,10,2010-11-14,Hapoel Tel Aviv,Beitar Jerusalem,0:0,0,0.0,0.0,1,19,5,15,2,4,14
2010,10,2010-11-15,Hapoel Petah Tikva,Ihud Bnei Sakhnin,0:1,0,0.0,1.0,2,6,2,4,1,13,16
2010,11,2010-11-20,Ihud Bnei Sakhnin,Hapoel Tel Aviv,1:3,0,1.0,3.0,2,5,20,4,13,15,3
2010,11,2010-11-20,Maccabi Netanya,Bnei Yehuda Tel Aviv,0:0,0,0.0,0.0,1,15,13,7,8,8,11
2010,11,2010-11-20,Maccabi Petah Tikva,Hapoel Acre,1:1,0,1.0,1.0,1,16,18,9,13,6,5
2010,11,2010-11-20,Beitar Jerusalem,Hapoel Ramat Gan,3:2,0,3.0,2.0,0,6,5,2,0,14,16
2010,11,2010-11-20,FC Ashdod,Hapoel Petah Tikva,1:2,0,1.0,2.0,2,14,6,9,4,9,14
2010,11,2010-11-20,Maccabi Tel Aviv,Ironi Kiryat Shmona,0:1,0,0.0,1.0,2,19,21,7,8,5,2
2010,11,2010-11-21,Hapoel Beer Sheva,Hapoel Ashkelon,1:0,0,1.0,0.0,0,13,10,6,2,11,12
2010,11,2010-11-22,Maccabi Haifa,Hapoel Haifa,0:0,14000,0.0,0.0,1,21,15,10,6,3,9
2010,12,2010-11-27,Hapoel Ashkelon,Maccabi Haifa,0:3,3000,0.0,3.0,2,10,22,1,8,12,3
2010,12,2010-11-27,Ironi Kiryat Shmona,Maccabi Petah Tikva,2:2,0,2.0,2.0,1,24,17,8,7,2,6
2010,12,2010-11-27,Hapoel Acre,Hapoel Beer Sheva,2:3,0,2.0,3.0,2,19,16,13,8,4,9
2010,12,2010-11-27,Hapoel Ramat Gan,Ihud Bnei Sakhnin,1:2,0,1.0,2.0,2,5,5,0,4,16,15
2010,12,2010-11-27,Bnei Yehuda Tel Aviv,Hapoel Petah Tikva,2:0,0,2.0,0.0,0,14,9,6,7,11,13
2010,12,2010-11-27,Hapoel Haifa,Beitar Jerusalem,0:2,0,0.0,2.0,2,16,9,7,5,9,14
2010,12,2010-11-28,Hapoel Tel Aviv,FC Ashdod,0:2,0,0.0,2.0,2,23,14,13,8,3,11
2010,12,2010-11-29,Maccabi Netanya,Maccabi Tel Aviv,0:2,0,0.0,2.0,2,16,19,5,7,11,6
2010,13,2010-12-04,Hapoel Petah Tikva,Hapoel Tel Aviv,1:5,0,1.0,5.0,2,9,23,6,10,14,3
2010,13,2010-12-04,Beitar Jerusalem,Hapoel Ashkelon,4:0,0,4.0,0.0,0,12,10,7,0,12,13
2010,13,2010-12-04,Ihud Bnei Sakhnin,Hapoel Haifa,1:3,0,1.0,3.0,2,8,16,6,6,15,10
2010,13,2010-12-04,FC Ashdod,Hapoel Ramat Gan,2:2,0,2.0,2.0,1,17,5,10,0,9,16
2010,13,2010-12-04,Maccabi Tel Aviv,Bnei Yehuda Tel Aviv,2:0,0,2.0,0.0,0,22,17,7,9,4,10
2010,13,2010-12-05,Maccabi Petah Tikva,Maccabi Netanya,2:0,0,2.0,0.0,0,18,16,8,4,8,11
2010,13,2010-12-06,Maccabi Haifa,Hapoel Acre,3:1,6000,3.0,1.0,0,25,19,10,10,3,6
2010,13,2010-12-06,Hapoel Beer Sheva,Ironi Kiryat Shmona,1:1,0,1.0,1.0,1,19,25,10,8,8,3
2010,14,2010-12-11,Maccabi Tel Aviv,Maccabi Petah Tikva,1:1,0,1.0,1.0,1,25,21,9,8,4,5
